LEGAL_ENTITY_ID|APPLICATION_ID|LEGAL_ENTITY_TYPE_CD |FIRST_NAME|MIDDLE_NAME|LAST_NAME|SUFFIX_TYPE_CODE|BIRTH_DATE|TAX_ID|PRIMARY_EMAIL_ADDRESS|PRIMARY_PHONE_NUMBER|ENTITY_ORDER|EMPLOYMENT_STATUS_TYPE_CD|EMPLOYER_NAME|ANNUAL_INCOME|HOUSING_STATUS_TYPE_CODE|MONTHLY_HOUSING_PAYMENT|INSRT_TS|CHNG_TS|INSRT_USR_ID|CHNG_USR_ID|ACTIVE_FLAG|KYC_VERIFICATION_VENDOR|KYC_VERIFICATION_STATUS|KYC_REASON_CODE_1|KYC_REASON_CODE_2|KCY_REASON_CODE_3|KYC_REASON_CODE_4|PRIMARY_PHONE_NUMBER_2|ANNUAL_INCOME_AMOUNT|PRIMARY_APPLICANT_SIGNED|EMAIL_PREFERENCE_FLAG|DL_NUMBER|DL_ISSUANCE_STATE|DL_FIRST_NAME|DL_MIDDLE_INITIAL|DL_LAST_NAME|DL_NAME_SUFFIX|DL_NAME_CHANGED|DL_DATE_OF_BIRTH_CHANGED|DL_ORIGINAL_ADDRESS_SOURCE|DL_ADDRESS_CHANGED|DL_ISSUE_DATE|DL_EXPIRATION_DATE|DL_DATE_OF_BIRTH|DL_ENTRY_FORMAT_FAILED|DL_SWIPE_RESPONSE_CODE|DL_SWIPE_METHOD_INDICATOR|DL_QUALIFYING_CARD_TYPE|DL_QUALIFYING_CARD_BYPASSED|REFERENCE_ID
4744dba3-1d75-4b20-a9bd-d63ca04065fb|efb70915-11cb-49e8-bf09-912c56e70a92|1|RICHARD|M|JJMKW|2|1978-11-03 00:00:00|666034754|qanotify@zootweb.com|2055551212|1|||75000|||2018-03-06 07:03:09.538000|2018-03-06 07:03:11.640300|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|||||||2055551212|75000|1|1|A970336568236|AL|DONALD J|J|JJMKW|JR|0|0|Y|0|19921010|19921010|09160011|0|1|Y|Y|N|TCC-180301434211
0e93e711-3fb4-4e8f-be77-c76479b2bb50|9264c9b5-45a8-4557-8f56-f01b27c2db62|1|RICHARD|M|JJMKW|2|1978-11-03 00:00:00|666034754|qanotify@zootweb.com|2055551212|1|||75000|||2018-03-06 09:03:07.127000|2018-03-06 09:03:08.579674|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|||||||2055551212|75000|1|1|B261702083137|MN|DONALD J|J|JJMKW|JR|0|0|Y|0|19921010|19921010|09160011|0|1|Y|Y|N|TCC-180301135014
54fef18c-c70e-402e-b7d9-8df6d60d0476|cf1cc45b-d83f-4f6c-9140-1e6ccacdd558|1|RICHARD|M|JJMKW|2|1978-11-03 00:00:00|666034754|qanotify@zootweb.com|2055551212|1|||75000|||2018-03-06 09:03:09.653000|2018-03-06 09:03:10.101708|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|||||||2055551212|75000|1|1|C476186704584|MN|DONALD J|J|JJMKW|JR|0|0|Y|0|19921010|19921010|09160011|0|1|Y|Y|N|TDC-180301012005
2c0f4091-6bde-4a55-98f3-f580a84d0bb1|c48889a3-9cf2-4196-b107-a9af4fd380d8|1|SHAIK|M|TEST   |2|1978-11-03 00:00:00|766034754|qanotify@zootweb.com|2055551212|1|||75000|||2018-03-06 09:03:11.586000|2018-03-06 09:03:12.262963|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|||||||2055551212|75000|1|1|D810007245423|MN|DONALD J|J|JJMKW|JR|0|0|Y|0|19921010|19921010|09160011|0|1|Y|Y|N|TCC-180301448928
0f2a4afc-9d4a-4e22-9f92-32f82e0ab783|f565f62f-f07f-419e-859e-b34b98f9f53b|1|RICHARD|M|JJMKW|2|1978-11-03 00:00:00|666034754|qanotify@zootweb.com|2055551212|1|||75000|||2018-03-06 09:03:14.820000|2018-03-06 09:03:14.738013|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|||||||2055551212|75000|1|1|E974961205706|MN|DONALD J|J|JJMKW|JR|0|0|Y|0|19921010|19921010|09160011|0|1|Y|Y|N|TCC-180301281465
5f1a8a72-b5ec-4131-ab4a-9341bcf4aaeb|e0673eed-995b-4976-8890-cc2367c689b3|1|SHAIK|M|TEST   |2|1978-11-03 00:00:00|766034754|qanotify@zootweb.com|2055551212|1|||75000|||2018-03-06 09:03:15.594000|2018-03-06 09:03:16.638900|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|||||||2055551212|75000|1|1|F131482576938|MN|DONALD J|J|JJMKW|JR|0|0|Y|0|19921010|19921010|09160011|0|1|Y|Y|N|TDC-180301799501
a0820942-c828-4c3a-94a9-993f5b8ada15|62f34c7f-386f-4500-9656-13a35be628b4|1|RICHARD|M|JJMKW|2|1978-11-03 00:00:00|666034754|qanotify@zootweb.com|2055551212|1|||75000|||2018-03-06 09:03:17.590000|2018-03-06 09:03:17.470115|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|||||||2055551212|75000|1|1|G923893470176|MN|DONALD J|J|JJMKW|JR|0|0|Y|0|19921010|19921010|09160011|0|1|Y|Y|N|TCC-180301417261
9cb0f124-e9b6-41cb-8f21-c6c89d5dbd97|26633c14-f15b-42b3-97b5-00168d6ab98f|1|RICHARD|M|JJMKW|2|1978-11-03 00:00:00|666034754|qanotify@zootweb.com|2055551212|1|||75000|||2018-03-06 09:03:18.705000|2018-03-06 09:03:19.263190|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|||||||2055551212|75000|1|1|I265938288477|MN|DONALD J|J|JJMKW|JR|0|0|Y|0|19921010|19921010|09160011|0|1|Y|Y|N|TCC-180301348815
74c2d7df-43a4-4dbc-b82f-8ba0e8add27c|4abada8c-1a24-4b8d-9305-68dc20fff6cf|1|RICHARD|M|JJMKW|2|1978-11-03 00:00:00|666034754|qanotify@zootweb.com|2055551212|1|||75000|||2018-03-06 09:03:20.770000|2018-03-06 09:03:20.554639|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|||||||2055551212|75000|1|1|J422114331723|MN|DONALD J|J|JJMKW|JR|0|0|Y|0|19921010|19921010|09160011|0|1|Y|Y|N|TCC-180301404011
ddc5b4ba-9f04-4416-9373-3039c854b228|595a7d3a-85e1-47a0-a790-83a8556d93b3|1|RICHARD|M|JJMKW|2|1978-11-03 00:00:00|666034754|qanotify@zootweb.com|2055551212|1|||75000|||2018-03-06 09:03:21.373000|2018-03-06 09:03:21.875173|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|||||||2055551212|75000|1|1|K714361240424|MN|DONALD J|J|JJMKW|JR|0|0|Y|0|19921010|19921010|09160011|0|1|Y|Y|N|TCC-180301794238
